title,meal,cookingTime,ingredients,difficulty,categories,calories,fats,protein,carbohydrates,portion,caloriesInPortion
Блины,Завтрак,,"Кислое молоко, Сахар, Соль, Яйцо, Мука",,Завтрак,,,,,,0
Гранола,Завтрак,,"Изюм, Кешью, Йогурт",,Завтрак,,,,,,0
Гречка,Обед,25,Гречка,Easy,"Веган, Гарнир",120,4.2,3.2,19,1.5,180
Грибные вафли,"Завтрак, Ужин",,"Кефир, Шампиньоны",,Завтрак,,,,,,0
Драники,"Завтрак, Ужин",20,"Картошка, Яйцо, Соль, Мука, Подсолнечное масло",Easy,Завтрак,482,30,6.8,46.7,1,482
Йогурт,Завтрак,0,Йогурт,Easy,"Моно, Снэк",,,,,,0
Куриные котлеты,Обед,,,,Второе блюдо,,,,,,0
Курица в мультиварке,Обед,,,,Второе блюдо,,,,,,0
Макароны с баклажанами,Обед,,"Макароны, Баклажаны, Томатная паста",,"Веган, Второе блюдо",,,,,,0
Макароны с грибами,Обед,,"Макароны, Шампиньоны, Соль, Подсолнечное масло",,"Веган, Второе блюдо",410,12,16,60,0.8,328
Макароны,Обед,10,Макароны,Easy,"Веган, Гарнир",,,,,,0
Мясо в к/с соусе,Обед,,,,,,,,,,0
Овсянка на молоке,Завтрак,,"Овсяные хлопья, Молоко, Сливочное масло, Сахар",,Завтрак,224,7.4,8,33.1,0.8,179.2
Оладьи на ржаной муке,Завтрак,,,,,,,,,,0
Ореховые батончики,Перекус,,"Кешью, Миндаль, Овсяные хлопья, Мед, Финики, Изюм",Easy,"Веган, Снэк",232,13.4,6.6,23.3,1,232
Панкейки,Завтрак,20,"Мука, Яйцо, Соль, Подсолнечное масло, Сахар, Разрыхлитель, Сода, Уксус столовый",Easy,,,,,,,0
Плов,Обед,,"Рис, Свинина, Морковка, Лук, Чеснок, Зира, Подсолнечное масло, Соль",,Второе блюдо,262,8.5,11.7,33.3,1,262
Пшенка,Завтрак,,"Пшено, Сливочное масло, Сахар",Easy,Завтрак,129,4,2.9,20.38,1,129
Рис,"Завтрак, Обед, Ужин",,Рис,,"Веган, Гарнир",116,0.3,2.7,24.6,1.3,150.8
Рисовая каша на молоке,Завтрак,,"Рис, Молоко, Сливочное масло, Сахар",,,,,,,,0
Салат с кальмаром и яйцом,Ужин,,"Кальмар, Яйцо, Салат, Майонез",,Салат,168,13.7,10.7,1.3,2,336
Сендвич,"Завтрак, Ужин",,,,,,,,,,0
Тушеная капуста,Ужин,,,,"Веган, Второе блюдо",,,,,,0
Тушеная свинина,Обед,,,,,,,,,,0
Фасоль в яйце,Ужин,,"Яйцо, Фасоль, Соль, Подсолнечное масло",,Гарнир,,,,,,0
Хинкали,Ужин,,,,,,,,,,0
Цветная капуста в яйце,Ужин,,,,,,,,,,0
Чечевица,Обед,,Чечевица,,"Веган, Гарнир",,,,,,0
Яичница,"Завтрак, Ужин",15,"Яйцо, Соль, Подсолнечное масло, Помидор, Болгарский перец",Easy,,,,,,,0
Сырные сырники,Ужин,25,"Мука, Соль, Подсолнечное масло, Сыр, Яйцо, Зелень",Medium,Завтрак,390,18.9,27.6,26.9,1,390
Кешью,Перекус,0,Кешью,Easy,"Веган, Моно",,,,,,0
Миндаль,Перекус,0,Миндаль,Easy,"Веган, Моно",,,,,,0
Фундук,Перекус,0,Фундук,Easy,"Веган, Моно",,,,,,0
Яблоко,Перекус,0,Яблоко,Easy,"Веган, Моно",47,0.4,0.4,9.8,0.5,23.5
Апельсин,Перекус,0,Апельсин,Easy,"Веган, Моно",,,,,,0
Банан,Перекус,0,Банан,Easy,"Веган, Моно",,,,,,0
Мандарин,Перекус,0,Мандарин,Easy,"Веган, Моно",,,,,,0
Грейпфрут,Перекус,0,Грейпфрут,Easy,"Веган, Моно",,,,,,0
Помело,Перекус,0,Помело,Easy,Моно,,,,,,0
Груша,Перекус,0,Груша,Easy,"Веган, Моно",,,,,,0
Финики,Перекус,0,Финики,Easy,"Веган, Моно",,,,,,0
Дыня,Перекус,0,Дыня,Easy,"Веган, Моно",,,,,,0
Арбуз,Перекус,0,Арбуз,Easy,"Веган, Моно",,,,,,0
Огурец,Перекус,0,Огурец,Easy,"Веган, Моно",15,0.1,0.6,3.6,0.5,7.5
Перец,Перекус,0,Болгарский перец,Easy,Моно,,,,,,0
Морковка,Перекус,0,Морковка,Easy,"Веган, Моно",47,0.2,1,9.5,0.5,23.5
Редька,Перекус,0,Редька,Easy,"Веган, Моно",36,0.2,2,8.1,1.5,54
Карпаччо,"Завтрак, Ужин",0,Карпаччо,Easy,Моно,100,3,17,0,0.4,40
Сыр,"Завтрак, Ужин",0,Сыр,Easy,Моно,,,,,,0
Творожный сырок,Перекус,0,Творожный сырок,Easy,Моно,160,9,3.2,10.1,1,160
Мороженое,Перекус,0,Мороженое,Easy,Моно,,,,,,0
Мед,Завтрак,0,Мед,Easy,"Веган, Моно",,,,,,0
Варенье,Завтрак,0,Варенье,Easy,"Веган, Моно",55,0.03,0.1,14,1,55
Шоколадная паста,Завтрак,0,Шоколадная паста,Easy,Моно,,,,,,0
Сметана,"Завтрак, Ужин",0,Сметана,Easy,Моно,204,20,25,34,0.5,102
Майонез,"Завтрак, Ужин",0,Майонез,Easy,Моно,620,67,1.5,3,0.25,155
Печенье утреннее,Завтрак,0,Печенье утреннее,Easy,Моно,,,,,,0
Лаваш,Перекус,,,,"Веган, Моно",96,0.4,3.2,19.5,1,96
Бретцели,Перекус,,Бретцели,,"Моно, Снэк",400,5,11,78,0.15,60
Сыр сиртаки,Перекус,,Сиртаки,,Моно,190,13.3,13.5,5,0.25,47.5
Тушеные овощи,Обед,,"Фасоль, Болгарский перец, Подсолнечное масло",,"Веган, Гарнир",94,3.7,1.5,14.6,1,94
Оладьи,Завтрак,,"Мука, Кефир, Сахар, Сода, Подсолнечное масло",,Выпечка,369,17.4,8.8,45,1,369
Кофе,Завтрак,,"Кофе, Молоко",,Напиток,100,5.2,5.6,7.5,0.8,80
Конверты из лаваша с курицей,"Завтрак, Ужин",,"Лаваш, Курица, Яйцо, Молоко, Творожный сыр, Соль, Подсолнечное масло",,Снэк,494,28.2,26.7,31.8,0.8,395.2
Вафли «Коровка»,Перекус,0,Вафли «Коровка»,Easy,Моно,117,6.16,1.3,13.4,1,117
Пельмени,Ужин,,Пельмени,,Второе блюдо,251,11.5,12,25,1.4,351.4
Яйцо бенедикт,"Завтрак, Ужин",,"Яйцо, Творожный сыр, Хлеб, Огурец, Карпаччо",,Завтрак,386,28.4,23.4,9,1,386
Печеный перец,Перекус,,,,Веган,,,,,,0
Творожный сыр,Перекус,,Творожный сыр,,Моно,141,9,10,5,0.5,70.5
Масло,,,,,Моно,,,,,,0
Тост,Перекус,,"Хлеб, Творожный сыр",,Снэк,570,31,16,55,0.4,228
Хлеб,,,,,"Веган, Моно",,,,,,0
Гренки,"Завтрак, Ужин",15,"Хлеб, Яйцо, Молоко, Подсолнечное масло, Соль",,Завтрак,298,12.12,9.46,37.64,1,298
Рыбные котлеты,Обед,,,,,,,,,,0
Жареная фасоль,,,,,"Веган, Гарнир",,,,,,0
Овсяноблин,Завтрак,,"Овсяные хлопья, Молоко, Яйцо, Подсолнечное масло, Соль",,Выпечка,212,10.5,9.7,20.5,1,212
Сырники,Завтрак,,"Творог, Яйцо, Мука, Сахар",,Завтрак,188,9.2,10.5,16,1,188
Бутерброд,Завтрак,5,"Хлеб, Майонез, Колбаса, Огурец",Easy,Снэк,176,5.5,6,22.9,1,176
Омлет,Завтрак,,"Яйцо, Молоко, Подсолнечное масло, Соль",,Завтрак,128,9.1,9,1.6,1,128
Вареники с капустой,Ужин,,"Тесто для вареников, Тушеная капуста",,"Веган, Второе блюдо",201,5.5,6.3,32.6,1,201
Жареная курица,Обед,15,"Курица, Лук, Подсолнечное масло, Соль, Сливочное масло",,Второе блюдо,178,10,20,0,1,178
Тушеная печень со сметаной,Обед,25,"Печень куриная, Лук, Сметана, Соль, Черный перец",Easy,Второе блюдо,245,16.4,18,5.9,1,245
Муравейник,Перекус,,"Маргарин, Сахар, Сметана, Яйцо, Сода, Мука, Вареная сгущенка, Сливочное масло, Шоколад",,Выпечка,384,24,4,39.4,1,384
Пибимпаб,Обед,,"Рис, Свинина, Кочудян, Редька, Морковка",,Второе блюдо,319,8,18.2,42.3,1,319
Какао,Перекус,,,,Напиток,,,,,,0
Томатный соус,,,Томатная паста,,"Веган, Моно",,,,,,0
Шоколад,,,,,"Веган, Десерт, Моно",,,,,,0
Горячий бутерброд,Завтрак,,,,Завтрак,,,,,,0
Яйцо вареное,Перекус,10,Яйцо,,,,,,,,0
Свинина в кисло-сладком соусе,Обед,,,,Второе блюдо,,,,,,0
Фасоль консервы,,,,,Моно,,,,,,0
Болоньезе,Обед,,,,Второе блюдо,,,,,,0
Творог,Перекус,,,,,,,,,,0
Пицца,Обед,,,,,,,,,,0
Грибной соус,,,,,Соус,,,,,,0
Пирожки,Перекус,,,,,,,,,,0
Лапша,Обед,,,,,,,,,,0
Манная каша,Завтрак,,,,,,,,,,0
Домашняя лапша,Обед,,,,,,,,,,0
Капуста,,,,,Моно,,,,,,0
Курица су-вид,Обед,,"Курица, Соль",,,,,,,,0
Помидор,,,,,Моно,,,,,,0
Брокколи,,,,,Гарнир,,,,,,0
